sample	Chrom	Start	End	value
TCGA-ZH-A8Y6-01A	1	3301765	84080491	0.0017
TCGA-ZH-A8Y6-01A	1	84084215	84094441	-0.8524
TCGA-ZH-A8Y6-01A	1	84096582	247650984	0.0006
TCGA-ZH-A8Y6-01A	2	480597	241537572	0.0081
TCGA-ZH-A8Y6-01A	3	2170634	82151318	0.0001
TCGA-ZH-A8Y6-01A	3	82154394	82154869	-1.6959
TCGA-ZH-A8Y6-01A	3	82157386	197812401	0.0005
TCGA-ZH-A8Y6-01A	4	1059384	187842528	0.0008
TCGA-ZH-A8Y6-01A	5	914118	18604158	-0.0057
TCGA-ZH-A8Y6-01A	5	18607208	18666713	0.4317
TCGA-ZH-A8Y6-01A	5	18675651	114915032	0.0008
TCGA-ZH-A8Y6-01A	5	114924417	114926095	-1.956
TCGA-ZH-A8Y6-01A	5	114928471	180934240	0.0017
TCGA-ZH-A8Y6-01A	6	1011760	147032956	0.0009
TCGA-ZH-A8Y6-01A	6	147033140	147036397	-1.3693
TCGA-ZH-A8Y6-01A	6	147036777	170596889	-0.003
TCGA-ZH-A8Y6-01A	7	664936	11963143	0.0045
TCGA-ZH-A8Y6-01A	7	11965346	11970376	-0.925
TCGA-ZH-A8Y6-01A	7	11973353	137015962	0.0003
TCGA-ZH-A8Y6-01A	7	137020404	137020467	-1.9788
TCGA-ZH-A8Y6-01A	7	137020945	158592540	-0.0031
TCGA-ZH-A8Y6-01A	8	667625	144182542	0.003
TCGA-ZH-A8Y6-01A	9	789794	1608186	0.0213
TCGA-ZH-A8Y6-01A	9	1609249	1609817	-1.7655
TCGA-ZH-A8Y6-01A	9	1609898	138044505	0.0008
TCGA-ZH-A8Y6-01A	10	366509	82362026	-0.0034
TCGA-ZH-A8Y6-01A	10	82363137	82364569	-1.6535
TCGA-ZH-A8Y6-01A	10	82369899	85248541	0.0002
TCGA-ZH-A8Y6-01A	10	85248654	85251196	-1.548
TCGA-ZH-A8Y6-01A	10	85251353	133411599	-0.0049
TCGA-ZH-A8Y6-01A	11	456012	125105496	-0.0006
TCGA-ZH-A8Y6-01A	11	125114086	125116103	-1.3859
TCGA-ZH-A8Y6-01A	11	125116196	125414990	-0.0242
TCGA-ZH-A8Y6-01A	11	125417499	125417777	-1.1799
TCGA-ZH-A8Y6-01A	11	125420858	131695446	-0.0084
TCGA-ZH-A8Y6-01A	11	131695578	131700957	-0.8043
TCGA-ZH-A8Y6-01A	11	131703438	131775419	-0.0287
TCGA-ZH-A8Y6-01A	11	131778023	131786624	-0.3334
TCGA-ZH-A8Y6-01A	11	131786643	132000315	0.0215
TCGA-ZH-A8Y6-01A	11	132000599	132011769	-0.684
TCGA-ZH-A8Y6-01A	11	132011876	134262730	-0.0054
TCGA-ZH-A8Y6-01A	11	134267239	134272740	-0.7527
TCGA-ZH-A8Y6-01A	12	780472	39907722	0.0046
TCGA-ZH-A8Y6-01A	12	39909703	39920951	-0.638
TCGA-ZH-A8Y6-01A	12	39923619	56669714	0.0015
TCGA-ZH-A8Y6-01A	12	56670615	58214381	0.5026
TCGA-ZH-A8Y6-01A	12	58217090	132605822	0.0066
TCGA-ZH-A8Y6-01A	13	18874255	48565553	0.0013
TCGA-ZH-A8Y6-01A	13	48567933	48571288	-1.3263
TCGA-ZH-A8Y6-01A	13	48572725	74716413	0.0014
TCGA-ZH-A8Y6-01A	13	74721780	74798478	0.3675
TCGA-ZH-A8Y6-01A	13	74813628	114226675	0.0002
TCGA-ZH-A8Y6-01A	14	20033191	105533894	0.0005
TCGA-ZH-A8Y6-01A	15	23437561	50823350	-0.001
TCGA-ZH-A8Y6-01A	15	50826644	50827191	-1.7403
TCGA-ZH-A8Y6-01A	15	50827284	101344124	-0.0047
TCGA-ZH-A8Y6-01A	16	603333	89317317	0.0029
TCGA-ZH-A8Y6-01A	17	1074619	82959812	0.0025
TCGA-ZH-A8Y6-01A	18	326691	22392424	0.0025
TCGA-ZH-A8Y6-01A	18	22392782	22397857	-1.2793
TCGA-ZH-A8Y6-01A	18	22400903	79349796	0.002
